panel	source_file	record_type	iteration	day1_rho	day7_rho	day14_rho	mean_rho	min_rho	transition_rho	same_transition_programs	statistic	real_value	null_mean	null_q95	empirical_one_sided_p	null_percentile	permutations	deleted_from	deleted_participant	all_days_positive
A-B	03_results/phase2b/MATCHED_RANDOM_PROGRAM_NULL_10000.tsv	null_iteration	115.0	0.857142857142857	0.785714285714286	0.464285714285714	0.702380952380953	0.464285714285714	0.928571428571429	7.0										
A-B	03_results/phase2b/MATCHED_RANDOM_PROGRAM_NULL_10000.tsv	null_iteration	116.0	0.571428571428571	0.821428571428571	-0.321428571428571	0.357142857142857	-0.321428571428571	0.607142857142857	6.0										
A-B	03_results/phase2b/MATCHED_RANDOM_PROGRAM_NULL_10000.tsv	null_iteration	117.0	0.464285714285714	0.392857142857143	-0.357142857142857	0.166666666666667	-0.357142857142857	0.321428571428571	6.0										
A-B	03_results/phase2b/MATCHED_RANDOM_PROGRAM_NULL_10000.tsv	null_iteration	118.0	0.964285714285714	0.642857142857143	0.607142857142857	0.738095238095238	0.607142857142857	0.892857142857143	5.0										
A-B	03_results/phase2b/MATCHED_RANDOM_PROGRAM_NULL_10000.tsv	null_iteration	119.0	0.964285714285714	0.357142857142857	0.678571428571429	0.666666666666667	0.357142857142857	0.678571428571429	5.0										
A-B	03_results/phase2b/MATCHED_RANDOM_PROGRAM_NULL_10000.tsv	null_iteration	120.0	0.821428571428571	0.25	0.428571428571429	0.5	0.25	0.678571428571429	5.0										
A-B	03_results/phase2b/MATCHED_RANDOM_PROGRAM_NULL_10000.tsv	null_iteration	121.0	0.821428571428571	0.428571428571429	0.0357142857142857	0.428571428571429	0.0357142857142857	0.857142857142857	6.0										
A-B	03_results/phase2b/MATCHED_RANDOM_PROGRAM_NULL_10000.tsv	null_iteration	122.0	0.607142857142857	0.678571428571429	0.607142857142857	0.630952380952381	0.607142857142857	0.75	5.0										
A-B	03_results/phase2b/MATCHED_RANDOM_PROGRAM_NULL_10000.tsv	null_iteration	123.0	0.821428571428571	0.392857142857143	-0.0357142857142857	0.392857142857143	-0.0357142857142857	0.857142857142857	6.0										
A-B	03_results/phase2b/MATCHED_RANDOM_PROGRAM_NULL_10000.tsv	null_iteration	124.0	0.785714285714286	0.857142857142857	0.392857142857143	0.678571428571429	0.392857142857143	0.928571428571429	7.0										
A-B	03_results/phase2b/MATCHED_RANDOM_PROGRAM_NULL_10000.tsv	null_iteration	125.0	0.857142857142857	0.714285714285714	0.0	0.523809523809524	0.0	0.714285714285714	6.0										
